name,FC,logFC,P.Value,adj.P.Val,test,vip.scores
RvD1,0.04444,-4.492,0.27,0.04,Mann Whitney test,0
RvD3,2.057,1.041,0.229,0.04,Mann Whitney test,0
17R-RvD3,1.65,0.7226,0.229,0.04,Mann Whitney test,0
RvD4,3.465,1.793,0.386,0.04,Mann Whitney test,0
22-OH-PD1,5.287,2.402,0.386,0.04,Mann Whitney test,0
Maresin1,0.04054,-4.625,0.27,0.04,Mann Whitney test,0
Maresin2,0.5666,-0.8197,0.629,0.04,Mann Whitney test,0
"4S,14S-diHDHA",3.677,1.879,0.359,0.04,Mann Whitney test,0
RvT1,0.2544,-1.975,0.564,0.04,Mann Whitney test,0
RvT3,0.1586,-2.656,0.27,0.04,Mann Whitney test,0
RvT4,0.03121,-5.002,0.564,0.04,Mann Whitney test,0
RvD2n-3DPA,0.3673,-1.445,0.0571,0.04,Mann Whitney test,0
RvD5n-3DPA,0.2389,-2.066,0.558,0.04,Mann Whitney test,0
PD1n-3DPA,0.4621,-1.114,0.564,0.04,Mann Whitney test,0
MaR1n-3DPA,0.5978,-0.7424,0.564,0.04,Mann Whitney test,0
MaR2n-3DPA,0.8913,-0.166,0.582,0.04,Mann Whitney test,0
RvE2,4.718,2.238,0.242,0.04,Mann Whitney test,0
LXA4,0.006386,-7.291,0.119,0.04,Mann Whitney test,0
LXB4,0.007536,-7.052,0.27,0.04,Mann Whitney test,0
"5S,15S-diHETE",1.791,0.841,0.629,0.04,Mann Whitney test,0
15-epi-LXA4,59.47,5.894,0.0319,0.04,Mann Whitney test,0
6-trans-LTB4,0.009908,-6.657,0.27,0.04,Mann Whitney test,0
6-trans-12-epi LTB4,0.1188,-3.073,0.359,0.04,Mann Whitney test,0
20-OH-LTB4,0.4276,-1.226,0.4,0.04,Mann Whitney test,0
PGE2,0.7731,-0.3713,0.564,0.04,Mann Whitney test,0
PCTR3,0.1277,-2.97,0.564,0.04,Mann Whitney test,0
LTD4,0.405,-1.304,0.564,0.04,Mann Whitney test,0
RvD6,2.124,1.087,0.825,0.04,Mann Whitney test,0
22-OH-MaR1,1.283,0.3598,0.857,0.04,Mann Whitney test,0
RvE1,1.183,0.2423,0.857,0.04,Mann Whitney test,0
RvE3,0.8933,-0.1628,0.857,0.04,Mann Whitney test,0
LTB4,0.8944,-0.1611,0.857,0.04,Mann Whitney test,0
"5S,12S-diHETE",0.7438,-0.427,0.857,0.04,Mann Whitney test,0
20-COOH-LTB4,0.5849,-0.7738,0.845,0.04,Mann Whitney test,0
TXB2,0.8824,-0.1806,0.857,0.04,Mann Whitney test,0
LTC4,0.9152,-0.1278,0.857,0.04,Mann Whitney test,0
17R-RvD1,1,0,1,0.04,Mann Whitney test,0
RvD2,1,0,1,0.04,Mann Whitney test,0
RvD5,1.347,0.4301,1,0.04,Mann Whitney test,0
PD1,1,0,1,0.04,Mann Whitney test,0
"10S,17S-diHDHA",1,0,1,0.04,Mann Whitney test,0
17R-PD1,1,0,1,0.04,Mann Whitney test,0
"7S,14S-diHDHA",1,0,1,0.04,Mann Whitney test,0
14-oxo-MaR1,1,0,1,0.04,Mann Whitney test,0
RvT2,1,0,1,0.04,Mann Whitney test,0
RvD1n-3DPA,1,0,1,0.04,Mann Whitney test,0
PD2n-3DPA,1,0,1,0.04,Mann Whitney test,0
"10S,17S-diHDPA",1,0,1,0.04,Mann Whitney test,0
RvE4,1,0,1,1,Mann Whitney test,0
15-epi-LXB4,1,0,1,0.04,Mann Whitney test,0
PGD2,1,0,1,0.04,Mann Whitney test,0
PGF2a,1,0,1,0.04,Mann Whitney test,0
PCTR1,1,0,1,0.04,Mann Whitney test,0
PCTR2,1,0,1,0.04,Mann Whitney test,0
MCTR1,1,0,1,0.04,Mann Whitney test,0
MCTR2,1,0,1,0.04,Mann Whitney test,0
MCTR3,1,0,1,0.04,Mann Whitney test,0
LTE4,1.074,0.1034,1,0.04,Mann Whitney test,0
