id,label,color.background,color.border,level,shape,opacity,font.size,size,x,y,margin.top,margin.botoom,margin.left,margin.right
THRO_BOX,,,white,8,box,0.2,30,10,2.5,-15,100,100,70,70
PROS_BOX,,,white,8,box,0.2,30,10,3.75,-15,100,100,250,250
LIPO_BOX,,,white,8,box,0.2,30,10,3.3,-12.8,620,620,250,250
LEUK_BOX,,,white,8,box,0.2,30,10,5.4,-11.8,630,630,400,400
CYS_BOX,,,white,8,box,0.2,30,10,7.25,-11.55,600,600,130,130
THRO,Thromboxane,black,white,8,text,1,30,10,2.6,-14.55,5,5,5,5
PROS,Prostaglandins,black,white,8,text,1,30,10,3.3,-14.55,5,5,5,5
LIPO,Lipoxins,black,white,8,text,1,30,10,2.75,-11.2,5,5,5,5
LEUK,Leukotrienes,black,white,8,text,1,30,10,4.4,-10.1,5,5,5,5
CYS,Cysteinyl Leukotrienes,black,white,8,text,1,30,10,7.3,-10.1,5,5,5,5
AA,AA,purple,white,1,hexagon,1,30,15,5,-17,5,5,5,5
COX,COX,lightblue,white,2,box,1,30,10,3.7,-16,5,5,5,5
ALOX15,ALOX15,lightblue,white,2,box,1,30,10,4.5,-16,5,5,5,5
COX-2/CYP450,COX-2/CYP450,lightblue,white,2,box,1,30,10,6.5,-16,5,5,5,5
TBXAS1,TBXAS1,lightblue,white,2.5,box,1,30,10,2.5,-15.5,5,5,5,5
PTGDS,PTGDS,lightblue,white,2.5,box,1,30,10,3.1,-15.5,5,5,5,5
PTGES,PTGES,lightblue,white,2.5,box,1,30,10,3.6,-15.5,5,5,5,5
AKR1B1/AKR1CR,AKR1B1/AKR1CR,lightblue,white,2.5,box,1,30,10,4.4,-15.5,5,5,5,5
TXB2,TXB2,lightgrey,white,3,dot,1,30,10,2.5,-15,5,5,5,5
PGD2,PGD2,lightgrey,white,3,dot,1,30,10,3.1,-15,5,5,5,5
PGE2,PGE2,lightgrey,white,3,dot,1,30,10,3.6,-15,5,5,5,5
PGF2a,PGF2a,lightgrey,white,3,dot,1,30,10,4.4,-15,5,5,5,5
ALOX5,ALOX5,lightblue,white,3,box,1,30,10,5.8,-15,5,5,5,5
15-epi-LXA4,15-epi-LXA4,lightgrey,white,5,dot,1,30,10,3.7,-14,5,5,5,5
15-epi-LXB4,15-epi-LXB4,lightgrey,white,4.5,dot,1,30,10,3.7,-13.3,5,5,5,5
"5S,15S-diHETE","5S,15S-diHETE",lightgrey,white,5,dot,1,30,10,4.5,-13.1,5,5,5,5
LXB4,LXB4,lightgrey,white,5.5,dot,1,30,10,3.7,-12.6,5,5,5,5
LXA4,LXA4,lightgrey,white,5.5,dot,1,30,10,3.1,-14,5,5,5,5
15PGDH,15PGDH,lightblue,white,6,box,1,30,10,3.1,-13.5,5,5,5,5
15-oxo-LXA4,15-oxo-LXA4,lightgrey,white,6.5,dot,1,30,10,3.1,-13,5,5,5,5
DPEP,DPEP,lightblue,white,7,box,1,30,10,3.1,-12.3,5,5,5,5
"13,14-dehydro-15-oxo LXA4","13,14-dehydro-15-oxo LXA4",lightgrey,white,7.5,dot,1,30,10,3.1,-11.7,5,5,5,5
6-trans-12-epi-LTB4,6-trans-12-epi-LTB4,lightgrey,white,5.25,dot,1,30,10,5.3,-12.8,5,5,5,5
LTA4H,LTA4H,lightblue,white,5,box,1,30,10,6,-13,5,5,5,5
LTB4,LTB4,lightgrey,white,5.5,dot,1,30,10,6,-12.5,5,5,5,5
CYP450,CYP450,lightblue,white,6,box,1,30,10,5.2,-12.1,5,5,5,5
20-OH-LTB4,20-OH-LTB4,lightgrey,white,6.5,dot,1,30,10,6,-11.6,5,5,5,5
20-COOH-LTB4,20-COOH-LTB4,lightgrey,white,7.5,dot,1,30,10,6,-10.8,5,5,5,5
6-trans-LTB4,6-trans-LTB4,lightgrey,white,6,dot,1,30,10,4.5,-11.9,5,5,5,5
ALOX12,ALOX12,lightblue,white,4.5,box,1,30,10,6.3,-13.5,5,5,5,5
"5S,12S-diHETE","5S,12S-diHETE",lightgrey,white,5.5,dot,1,30,10,6.3,-12.2,5,5,5,5
LTC4S,LTC4S,lightblue,white,5,box,1,30,10,7,-13.1,5,5,5,5
LTC4,LTC4,lightgrey,white,5.5,dot,1,30,10,7.5,-12.6,5,5,5,5
GGT,GGT,lightblue,white,6,box,1,30,10,7,-12.1,5,5,5,5
LTD4,LTD4,lightgrey,white,6.5,dot,1,30,10,7.5,-11.6,5,5,5,5
LTE4,LTE4,lightgrey,white,7.5,dot,1,30,10,7.5,-10.7,5,5,5,5
DPEP2,DPEP,lightblue,white,7,box,1,30,10,7,-11.1,5,5,5,5
CYP450-2,CYP450,lightblue,white,7,box,1,30,10,5.2,-11.1,5,5,5,5
